@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE nearestGhostUp {True, False}
@ATTRIBUTE nearestGhostDown {True, False}
@ATTRIBUTE nearestGhostLeft {True, False}
@ATTRIBUTE nearestGhostRight {True, False}
@ATTRIBUTE angleClosestGhost NUMERIC
@ATTRIBUTE hasWallEast {True, False}
@ATTRIBUTE hasWallSouth {True, False}
@ATTRIBUTE hasWallWest {True, False}
@ATTRIBUTE hasWallNorth {True, False}
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,True,False,False,True,63,False,False,False,False,7,-1,1,Stop,-2,4,1
12,10,4,True,True,True,True,5,7,5,13,13,5,13,12,10,10,6,3,True,False,False,True,63,False,False,False,False,7,-2,1,Stop,-3,4,1
12,10,4,True,True,True,True,6,7,5,12,13,5,13,13,9,9,6,4,True,False,False,True,72,False,False,False,False,7,-3,1,Stop,-4,4,1
12,10,4,True,True,True,True,7,7,5,13,12,5,13,12,8,10,5,3,True,False,False,True,63,False,False,False,False,7,-4,1,Stop,-5,4,1
13,10,4,True,True,True,True,7,7,5,12,12,6,14,12,9,10,5,3,True,False,False,True,63,False,False,False,False,6,-5,1,East,-6,4,1
13,11,4,True,True,True,True,7,8,5,12,11,6,13,12,9,9,7,1,True,False,False,False,90,False,False,False,False,7,-6,1,North,193,3,1
13,12,3,True,True,True,False,6,8,5,11,11,7,7,1,11,9,7,-1,False,True,True,False,248,False,False,False,False,8,193,1,North,192,3,1
13,13,3,True,True,True,False,6,8,5,12,11,7,7,1,12,9,8,-1,False,True,True,False,252,False,False,False,False,9,192,1,North,191,3,1
12,13,3,True,True,True,False,6,7,4,12,11,7,7,1,12,9,7,-1,False,True,True,False,261,False,False,False,False,10,191,1,West,190,3,1
11,13,3,True,True,True,False,6,6,4,12,11,6,7,1,12,8,7,-1,False,True,False,False,270,False,False,False,False,11,190,1,West,189,3,1
10,13,3,True,True,True,False,7,6,4,12,10,6,7,1,10,7,7,-1,False,True,True,False,189,False,False,False,False,12,189,1,West,188,3,1
9,13,3,True,True,True,False,7,5,3,12,9,6,7,1,10,7,7,-1,False,True,True,False,189,False,False,False,False,13,188,1,West,187,3,1
8,13,3,True,True,True,False,8,5,3,11,9,6,7,1,8,7,8,-1,False,True,True,False,202,False,False,False,False,14,187,1,West,186,3,1
7,13,3,True,True,True,False,8,5,3,11,10,6,7,1,9,6,10,-1,False,True,True,False,207,False,False,False,False,15,186,1,West,185,3,1
6,13,3,True,True,True,False,8,4,2,11,10,6,7,1,11,6,11,-1,False,True,True,False,207,False,False,False,False,16,185,1,West,184,3,1
5,13,3,True,True,True,False,8,3,3,11,10,5,7,1,13,4,13,-1,False,True,True,False,225,False,False,False,False,17,184,1,West,183,3,1
5,12,3,True,True,True,False,8,3,3,12,10,4,7,1,12,2,13,-1,False,False,True,False,180,False,False,False,False,16,183,1,South,382,2,1
4,12,2,True,False,True,False,8,3,4,12,10,3,7,1,13,-1,15,-1,False,True,False,True,294,False,False,False,False,17,382,1,West,381,2,1
3,12,2,True,False,True,False,9,3,3,1,10,4,7,1,15,-1,15,-1,False,True,False,True,304,False,False,False,False,18,381,1,West,380,2,1
4,12,2,True,False,True,False,9,4,3,1,9,4,7,1,13,-1,13,-1,False,True,False,True,302,False,False,False,False,17,380,1,East,379,2,1
5,12,2,True,False,True,False,10,4,3,1,9,3,7,1,13,-1,13,-1,False,True,False,True,302,False,False,False,False,16,379,1,East,378,2,1
5,11,2,True,False,True,False,10,5,3,1,8,3,7,1,11,-1,11,-1,False,True,False,True,310,False,True,False,False,15,378,1,South,377,2,1
6,11,2,True,False,True,False,10,4,3,1,8,3,7,1,11,-1,10,-1,False,True,False,True,284,False,False,False,False,14,377,1,East,376,2,1
7,11,2,True,False,True,False,10,4,3,1,8,3,7,1,10,-1,9,-1,False,True,False,True,277,False,False,False,False,13,376,1,East,375,2,1
7,10,2,True,False,True,False,10,3,3,1,7,3,7,1,10,-1,7,-1,False,True,False,False,270,False,False,False,False,12,375,1,South,374,2,1
7,9,2,True,False,True,False,9,3,3,1,8,3,7,1,8,-1,7,-1,False,True,False,True,279,False,False,False,False,11,374,1,South,373,2,1
7,8,2,True,False,True,False,9,3,3,1,8,3,7,1,7,-1,6,-1,False,True,False,True,281,False,False,False,False,12,373,1,South,372,2,1
7,7,2,True,False,True,False,9,4,3,1,8,3,7,1,5,-1,5,-1,False,True,False,True,304,False,False,False,False,13,372,1,South,371,2,1
7,6,2,True,False,True,False,9,4,3,1,8,4,7,1,4,-1,3,-1,False,True,False,True,297,False,False,False,False,14,371,1,South,370,2,1
7,5,2,True,False,True,False,9,3,3,1,8,3,7,1,4,-1,3,-1,False,True,False,True,297,False,False,False,False,15,370,1,South,369,2,1
7,4,2,True,False,True,False,9,3,3,1,8,4,7,1,3,-1,1,-1,False,False,False,True,0,False,False,False,False,16,369,1,South,568,1,1
8,4,1,True,False,False,False,9,4,3,1,8,4,7,1,1,-1,-1,-1,False,False,False,True,0,False,False,False,False,15,568,1,East,567,1,1
9,4,1,True,False,False,False,9,5,3,1,5,1,7,1,1,-1,-1,-1,True,False,False,False,90,False,False,False,False,14,567,1,East,566,1,1
10,4,1,True,False,False,False,9,6,3,1,5,1,7,1,3,-1,-1,-1,True,False,True,False,117,False,False,False,False,13,566,1,East,565,1,1
10,5,1,True,False,False,False,8,6,3,1,5,1,7,1,3,-1,-1,-1,True,False,True,False,153,False,False,False,False,12,565,1,North,564,1,1
10,6,1,True,False,False,False,7,6,3,1,5,1,7,1,3,-1,-1,-1,False,False,True,False,180,False,False,False,False,11,564,1,North,563,1,1
9,6,1,True,False,False,False,8,6,3,1,5,1,7,1,1,-1,-1,-1,False,False,True,False,180,False,False,False,False,12,563,1,West,562,1,1
8,6,1,True,False,False,False,8,7,3,1,5,1,7,1,1,-1,-1,-1,True,False,False,False,90,False,False,False,False,13,562,1,West,561,1,1
7,6,1,True,False,False,False,8,8,3,1,5,1,7,1,3,-1,-1,-1,True,False,False,True,63,False,False,False,False,14,561,1,West,560,1,1
7,7,1,True,False,False,False,7,8,3,1,5,1,7,1,1,-1,-1,-1,True,False,False,False,90,False,False,False,False,13,560,1,North,559,1,1
7,8,1,True,False,False,False,7,9,3,1,5,1,7,1,1,-1,-1,-1,True,False,False,False,90,False,False,False,False,12,559,1,North,558,1,1
7,9,1,True,False,False,False,6,9,3,1,5,1,7,1,1,-1,-1,-1,False,False,True,False,180,False,False,False,False,11,558,1,North,758,0,1
7,9,0,False,False,False,False,6,9,3,1,5,1,7,1,-1,-1,-1,-1,False,False,True,False,180,False,False,False,False,11,758,1,East,758,0,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,True,False,False,True,63,False,False,False,False,7,-1,1,Stop,-2,4,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,True,False,False,True,63,False,False,False,False,7,-2,1,Stop,-3,4,1
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,True,False,False,True,63,False,False,False,False,7,-3,1,Stop,-4,4,1
13,10,4,True,True,True,True,5,6,5,12,13,6,13,12,12,10,4,2,True,False,False,False,90,False,False,False,False,6,-4,1,East,-5,4,1
13,9,4,True,True,True,True,5,6,5,12,13,6,13,12,11,11,3,3,False,True,False,False,270,False,False,False,False,5,-5,1,South,-6,4,1
13,8,4,True,True,True,True,5,6,5,12,13,6,13,12,10,12,2,4,False,True,False,False,270,False,False,False,False,6,-6,1,South,-7,4,1
13,7,4,True,True,True,True,5,6,5,12,13,6,13,12,9,13,1,5,False,True,False,False,270,False,False,False,False,7,-7,1,South,192,3,1
13,6,3,True,True,False,True,5,6,5,12,13,6,13,12,8,14,-1,6,True,False,False,False,90,False,False,False,False,8,192,1,South,191,3,1
12,6,3,True,True,False,True,5,6,5,12,5,1,13,12,7,13,-1,7,False,False,True,False,180,False,False,False,False,9,191,1,West,190,3,1
11,6,3,True,True,False,True,5,6,5,12,5,1,13,12,6,12,-1,8,False,False,True,False,180,False,False,False,False,10,190,1,West,189,3,1
10,6,3,True,True,False,True,5,6,5,12,5,1,13,12,5,11,-1,9,False,False,True,False,180,False,False,False,False,11,189,1,West,188,3,1
9,6,3,True,True,False,True,5,6,5,12,5,1,13,12,4,10,-1,10,False,False,True,False,180,False,False,False,False,12,188,1,West,187,3,1
8,6,3,True,True,False,True,5,6,5,12,5,1,13,12,3,9,-1,11,False,False,True,False,180,False,False,False,False,13,187,1,West,186,3,1
7,6,3,True,True,False,True,5,6,5,12,5,1,13,12,2,8,-1,12,False,False,True,False,180,False,False,False,False,14,186,1,West,185,3,1
6,6,3,True,True,False,True,5,6,5,12,5,1,13,12,1,7,-1,13,False,False,True,False,180,False,False,False,False,15,185,1,West,384,2,1
5,6,2,False,True,False,True,5,6,5,12,5,1,13,12,-1,6,-1,14,True,False,False,False,90,False,False,False,False,16,384,1,West,383,2,1
5,7,2,False,True,False,True,1,1,5,12,5,1,13,12,-1,5,-1,13,True,False,False,False,90,False,False,False,False,15,383,1,North,382,2,1
5,8,2,False,True,False,True,1,1,5,12,5,1,13,12,-1,4,-1,12,True,False,False,False,90,False,False,False,False,14,382,1,North,381,2,1
5,9,2,False,True,False,True,1,1,5,12,5,1,13,12,-1,3,-1,11,True,False,False,False,90,False,False,False,True,13,381,1,North,380,2,1
6,9,2,False,True,False,True,1,1,5,12,5,1,13,12,-1,4,-1,10,True,False,True,False,108,False,False,False,False,12,380,1,East,379,2,1
6,10,2,False,True,False,True,1,1,5,12,5,1,13,12,-1,3,-1,9,True,False,True,False,117,True,False,False,False,13,379,1,North,378,2,1
6,11,2,False,True,False,True,1,1,5,12,5,1,13,12,-1,2,-1,8,True,False,True,False,135,False,False,False,False,14,378,1,North,377,2,1
5,11,2,False,True,False,True,1,1,5,12,5,1,13,12,-1,1,-1,9,True,False,False,False,90,False,True,False,False,15,377,1,West,576,1,1
5,12,1,False,False,False,True,1,1,5,12,5,1,13,12,-1,-1,-1,8,False,False,False,True,0,False,False,False,False,16,576,1,North,575,1,1
5,13,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,9,False,True,False,True,353,False,False,False,False,17,575,1,North,574,1,1
6,13,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,8,False,True,False,True,352,False,False,False,False,16,574,1,East,573,1,1
7,13,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,7,False,True,False,True,351,False,False,False,False,15,573,1,East,572,1,1
8,13,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,6,False,True,False,True,349,False,False,False,False,14,572,1,East,571,1,1
8,12,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,5,False,False,False,True,0,False,False,False,False,13,571,1,South,570,1,1
9,12,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,4,False,False,False,True,0,False,False,False,False,12,570,1,East,569,1,1
10,12,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,3,False,False,False,True,0,False,False,False,False,11,569,1,East,568,1,1
11,12,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,2,False,False,False,True,0,False,False,False,False,10,568,1,East,567,1,1
12,12,1,False,False,False,True,1,1,3,1,5,1,13,12,-1,-1,-1,1,False,False,False,True,0,False,False,False,False,9,567,1,East,766,0,1
