@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R8-19,29,31,33-35'

@attribute positionX numeric
@attribute positionY numeric
@attribute numGhosts numeric
@attribute alive1 {True,False}
@attribute alive2 {True,False}
@attribute alive3 {True,False}
@attribute alive4 {True,False}
@attribute nearestGhostUp {True,False}
@attribute nearestGhostDown {True,False}
@attribute nearestGhostLeft {True,False}
@attribute nearestGhostRight {True,False}
@attribute angleClosestGhost numeric
@attribute hasWallEast {True,False}
@attribute hasWallSouth {True,False}
@attribute hasWallWest {True,False}
@attribute hasWallNorth {True,False}
@attribute actualScore numeric
@attribute movement {Stop,South,East,West,North}

@data
12,10,4,True,True,True,True,True,False,False,True,63,False,False,False,False,-1,Stop
12,10,4,True,True,True,True,True,False,False,True,63,False,False,False,False,-2,Stop
12,10,4,True,True,True,True,True,False,False,True,72,False,False,False,False,-3,Stop
12,10,4,True,True,True,True,True,False,False,True,63,False,False,False,False,-4,Stop
13,10,4,True,True,True,True,True,False,False,True,63,False,False,False,False,-5,East
13,11,4,True,True,True,True,True,False,False,False,90,False,False,False,False,-6,North
13,12,3,True,True,True,False,False,True,True,False,248,False,False,False,False,193,North
13,13,3,True,True,True,False,False,True,True,False,252,False,False,False,False,192,North
12,13,3,True,True,True,False,False,True,True,False,261,False,False,False,False,191,West
11,13,3,True,True,True,False,False,True,False,False,270,False,False,False,False,190,West
10,13,3,True,True,True,False,False,True,True,False,189,False,False,False,False,189,West
9,13,3,True,True,True,False,False,True,True,False,189,False,False,False,False,188,West
8,13,3,True,True,True,False,False,True,True,False,202,False,False,False,False,187,West
7,13,3,True,True,True,False,False,True,True,False,207,False,False,False,False,186,West
6,13,3,True,True,True,False,False,True,True,False,207,False,False,False,False,185,West
5,13,3,True,True,True,False,False,True,True,False,225,False,False,False,False,184,West
5,12,3,True,True,True,False,False,False,True,False,180,False,False,False,False,183,South
4,12,2,True,False,True,False,False,True,False,True,294,False,False,False,False,382,West
3,12,2,True,False,True,False,False,True,False,True,304,False,False,False,False,381,West
4,12,2,True,False,True,False,False,True,False,True,302,False,False,False,False,380,East
5,12,2,True,False,True,False,False,True,False,True,302,False,False,False,False,379,East
5,11,2,True,False,True,False,False,True,False,True,310,False,True,False,False,378,South
6,11,2,True,False,True,False,False,True,False,True,284,False,False,False,False,377,East
7,11,2,True,False,True,False,False,True,False,True,277,False,False,False,False,376,East
7,10,2,True,False,True,False,False,True,False,False,270,False,False,False,False,375,South
7,9,2,True,False,True,False,False,True,False,True,279,False,False,False,False,374,South
7,8,2,True,False,True,False,False,True,False,True,281,False,False,False,False,373,South
7,7,2,True,False,True,False,False,True,False,True,304,False,False,False,False,372,South
7,6,2,True,False,True,False,False,True,False,True,297,False,False,False,False,371,South
7,5,2,True,False,True,False,False,True,False,True,297,False,False,False,False,370,South
7,4,2,True,False,True,False,False,False,False,True,0,False,False,False,False,369,South
8,4,1,True,False,False,False,False,False,False,True,0,False,False,False,False,568,East
9,4,1,True,False,False,False,True,False,False,False,90,False,False,False,False,567,East
10,4,1,True,False,False,False,True,False,True,False,117,False,False,False,False,566,East
10,5,1,True,False,False,False,True,False,True,False,153,False,False,False,False,565,North
10,6,1,True,False,False,False,False,False,True,False,180,False,False,False,False,564,North
9,6,1,True,False,False,False,False,False,True,False,180,False,False,False,False,563,West
8,6,1,True,False,False,False,True,False,False,False,90,False,False,False,False,562,West
7,6,1,True,False,False,False,True,False,False,True,63,False,False,False,False,561,West
