@RELATION training_tutorial1

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE nearestGhostUp {True, False}
@ATTRIBUTE nearestGhostDown {True, False}
@ATTRIBUTE nearestGhostLeft {True, False}
@ATTRIBUTE nearestGhostRight {True, False}
@ATTRIBUTE angleClosestGhost NUMERIC
@ATTRIBUTE hasWallEast {True, False}
@ATTRIBUTE hasWallSouth {True, False}
@ATTRIBUTE hasWallWest {True, False}
@ATTRIBUTE hasWallNorth {True, False}
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC


@data
9,4,4,True,True,True,True,1,4,3,10,13,10,17,4,8,12,10,8,False,False,True,False,180,False,False,False,False,-1,-1,0,North,-2,4,0
8,4,4,True,True,True,True,2,4,3,11,13,10,17,3,6,12,11,10,False,False,True,False,180,False,True,False,True,-1,-2,0,West,-3,4,0
7,4,4,True,True,True,True,2,4,3,11,13,9,17,3,5,11,11,11,False,False,True,False,180,False,False,False,False,-1,-3,0,West,-4,4,0
6,4,4,True,True,True,True,3,4,3,10,13,10,17,4,3,9,13,11,False,False,True,False,180,False,True,False,True,-1,-4,0,West,-5,4,0
5,4,4,True,True,True,True,2,4,2,10,13,11,16,4,3,9,15,11,False,False,True,False,180,False,False,False,False,-1,-5,0,West,-6,4,0
4,4,4,True,True,True,True,3,4,1,10,13,10,15,4,1,9,15,11,False,False,True,False,180,False,True,False,True,-1,-6,0,West,193,3,0
3,4,3,False,True,True,True,3,4,1,9,13,10,15,3,-1,7,16,13,True,False,True,False,112,False,False,False,False,-1,193,0,West,192,3,0
3,5,3,False,True,True,True,1,1,1,8,14,10,15,3,-1,5,16,14,True,False,True,False,124,True,False,True,False,-1,192,0,North,191,3,0
3,6,3,False,True,True,True,1,1,1,8,15,10,15,4,-1,4,16,14,True,False,True,False,135,False,False,False,False,-1,191,0,North,190,3,0
3,7,3,False,True,True,True,1,1,2,8,16,10,16,4,-1,2,16,16,True,False,True,False,135,True,False,True,False,-1,190,0,North,189,3,0
