@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
12,10,4,True,True,True,True,4,6,6,12,13,6,13,12,12,8,5,2,7,-1,1,Stop,-2,4,1
12,10,4,True,True,True,True,3,6,6,11,13,5,13,11,13,7,6,1,7,-2,1,Stop,-3,4,1
12,10,4,True,True,True,True,4,6,7,11,13,4,13,10,12,6,7,2,7,-3,1,Stop,-4,4,1
12,10,4,True,True,True,True,3,6,6,11,13,3,13,11,13,7,8,2,7,-4,1,Stop,195,3,1
13,10,3,True,True,True,False,4,6,6,12,12,3,13,11,13,9,8,-1,6,195,1,East,194,3,1
14,10,3,True,True,True,False,4,6,6,12,12,4,7,1,14,10,8,-1,5,194,1,East,193,3,1
14,11,3,True,True,True,False,3,6,6,11,12,4,7,1,16,8,9,-1,6,193,1,North,192,3,1
14,12,3,True,True,True,False,2,6,6,12,13,4,7,1,18,8,9,-1,7,192,1,North,191,3,1
14,13,3,True,True,True,False,3,6,5,12,12,4,7,1,18,10,11,-1,8,191,1,North,190,3,1
13,13,3,True,True,True,False,3,6,5,11,12,5,7,1,17,10,9,-1,9,190,1,West,189,3,1
12,13,3,True,True,True,False,4,6,5,12,12,5,7,1,15,8,8,-1,10,189,1,West,188,3,1
11,13,3,True,True,True,False,4,5,5,11,12,6,7,1,15,8,8,-1,11,188,1,West,187,3,1
10,13,3,True,True,True,False,4,6,5,12,12,5,7,1,13,6,10,-1,12,187,1,West,186,3,1
9,13,3,True,True,True,False,4,5,6,12,12,4,7,1,13,4,12,-1,13,186,1,West,185,3,1
8,13,3,True,True,True,False,3,5,7,12,12,3,7,1,13,2,14,-1,14,185,1,West,184,3,1
7,13,3,True,True,True,False,4,5,6,12,12,3,7,1,11,2,15,-1,15,184,1,West,183,3,1
6,13,3,True,True,True,False,4,6,7,12,12,4,7,1,9,2,15,-1,16,183,1,West,182,3,1
6,12,3,True,True,True,False,4,5,7,11,11,4,7,1,9,2,13,-1,15,182,1,South,181,3,1
6,11,3,True,True,True,False,4,6,8,11,11,4,7,1,7,2,12,-1,14,181,1,South,180,3,1
7,11,3,True,True,True,False,4,7,8,10,10,4,7,1,7,2,10,-1,13,180,1,East,379,2,1
8,11,2,True,False,True,False,3,7,3,1,11,4,7,1,9,-1,10,-1,12,379,1,East,378,2,1
9,11,2,True,False,True,False,3,8,3,1,11,3,7,1,9,-1,10,-1,11,378,1,East,377,2,1
9,10,2,True,False,True,False,3,8,3,1,10,3,7,1,8,-1,8,-1,10,377,1,South,376,2,1
9,9,2,True,False,True,False,2,8,3,1,10,3,7,1,8,-1,7,-1,9,376,1,South,375,2,1
9,8,2,True,False,True,False,1,8,3,1,11,3,7,1,8,-1,7,-1,10,375,1,South,374,2,1
8,8,2,True,False,True,False,2,8,3,1,10,3,7,1,6,-1,7,-1,11,374,1,West,373,2,1
7,8,2,True,False,True,False,1,8,3,1,11,3,7,1,6,-1,9,-1,12,373,1,West,372,2,1
6,8,2,True,False,True,False,1,9,3,1,11,4,7,1,6,-1,9,-1,13,372,1,West,371,2,1
5,8,2,True,False,True,False,1,8,3,1,12,4,7,1,4,-1,11,-1,14,371,1,West,370,2,1
