@RELATION training_tutorial1

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
9,4,4,True,True,True,True,1,3,3,11,12,10,17,4,9,13,9,9,-1,-1,0,North,-2,4,0
9,3,4,True,True,True,True,1,3,3,11,12,10,17,3,8,14,10,9,-1,-2,0,South,-3,4,0
9,4,4,True,True,True,True,1,3,3,11,12,10,17,4,9,13,9,7,-1,-3,0,North,-4,4,0
10,4,4,True,True,True,True,1,4,3,11,11,10,16,4,9,14,7,5,-1,-4,0,East,-5,4,0
11,4,4,True,True,True,True,1,3,3,11,10,10,15,4,11,15,7,3,-1,-5,0,East,-6,4,0
12,4,4,True,True,True,True,1,4,3,11,10,10,14,4,11,16,8,1,-1,-6,0,East,193,3,0
13,4,3,True,True,True,False,1,4,3,10,10,10,7,1,12,16,9,-1,-1,193,0,East,192,3,0
13,5,3,True,True,True,False,2,4,3,9,11,10,7,1,12,14,7,-1,-1,192,0,North,191,3,0
13,6,3,True,True,True,False,2,4,3,8,11,10,7,1,13,12,6,-1,-1,191,0,North,190,3,0
13,7,3,True,True,True,False,3,4,4,8,11,10,7,1,13,10,5,-1,-1,190,0,North,189,3,0
13,8,3,True,True,True,False,2,4,3,8,11,9,7,1,15,10,3,-1,-1,189,0,North,188,3,0
13,9,3,True,True,True,False,2,4,4,8,11,8,7,1,16,10,3,-1,-1,188,0,North,187,3,0
13,8,3,True,True,True,False,1,4,5,8,11,7,7,1,16,8,3,-1,-1,187,0,South,186,3,0
13,7,3,True,True,True,False,1,5,5,7,11,7,7,1,14,8,2,-1,-1,186,0,South,185,3,0
13,6,3,True,True,True,False,1,6,5,8,11,7,7,1,12,10,3,-1,-1,185,0,South,184,3,0
13,7,3,True,True,True,False,1,6,4,8,11,6,7,1,13,10,3,-1,-1,184,0,North,183,3,0
13,6,3,True,True,True,False,2,6,3,8,11,6,7,1,11,12,2,-1,-1,183,0,South,182,3,0
12,6,3,True,True,True,False,1,6,3,9,11,5,7,1,11,12,2,-1,-1,182,0,West,181,3,0
11,6,3,True,True,True,False,1,6,3,10,11,5,7,1,10,12,1,-1,-1,181,0,West,380,2,0
11,5,2,True,True,False,False,1,6,4,10,5,1,7,1,11,12,-1,-1,-1,380,0,South,379,2,0
11,6,2,True,True,False,False,1,5,3,10,5,1,7,1,11,12,-1,-1,-1,379,0,North,378,2,0
11,5,2,True,True,False,False,1,6,4,10,5,1,7,1,11,12,-1,-1,-1,378,0,South,377,2,0
11,6,2,True,True,False,False,1,6,3,10,5,1,7,1,10,12,-1,-1,-1,377,0,North,376,2,0
10,6,2,True,True,False,False,2,6,2,10,5,1,7,1,8,12,-1,-1,-1,376,0,West,375,2,0
9,6,2,True,True,False,False,1,6,2,10,5,1,7,1,8,11,-1,-1,-1,375,0,West,374,2,0
8,6,2,True,True,False,False,1,5,1,10,5,1,7,1,8,11,-1,-1,-1,374,0,West,373,2,0
7,6,2,True,True,False,False,1,6,2,10,5,1,7,1,6,9,-1,-1,-1,373,0,West,372,2,0
6,6,2,True,True,False,False,1,7,3,10,5,1,7,1,6,7,-1,-1,-1,372,0,West,371,2,0
5,6,2,True,True,False,False,1,7,3,9,5,1,7,1,5,5,-1,-1,-1,371,0,West,370,2,0
5,7,2,True,True,False,False,1,7,3,8,5,1,7,1,4,3,-1,-1,-1,370,0,North,369,2,0
