(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(12, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 9, 5, 3],7
(12, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 9, 5, 3],7
(12, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 9, 5, 3],7
(12, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 9, 5, 3],7
(12, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 9, 5, 3],7
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[12, 6, 8, 2],10
(11, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[12, 6, 8, 2],10
(11, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[12, 6, 8, 2],10
(11, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[12, 6, 8, 2],10
(11, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[12, 6, 8, 2],10
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
